"PMN_CODE","COUNTRYCODE","MTC_CHR","GPRS_CHR","SMST_CHR","SMSO_CHR","MOC_CHR_TO_THAILAND","MOC_CHR_LOCAL","MOC_CHR_INTER","GMT_OFFSET","GPRS_MIN","GPRS_ROUND","CHARGE_TYPE","IDD_ACCESS_CODE","ROAMINGAREANUMBER"
"IND24","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"IND25","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"IND26","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"IND27","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"IND28","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"IND29","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDA1","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDA2","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDA3","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDA4","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDA5","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDA6","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDA7","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDA8","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDA9","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDAC","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDAT","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDB1","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDBI","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDBK","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDBL","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDBM","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDBO","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDBT","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDCC","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDE1","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDEH","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDEK","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDEU","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDF1","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDH1","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDHM","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDIB","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDID","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDIH","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDIK","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDIM","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDIO","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDIR","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDIT","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDIU","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDIW","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDJB","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDJH","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDMB","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDMP","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDMT","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDRC","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDRM","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDSC","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDSK","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDSP","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDT0","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDT1","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDT2","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDT3","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDT4","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDT5","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDT6","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDT7","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDT8","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDT9","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDTB","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDTD","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDTG","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDTH","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDTK","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDTM","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDTO","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDTP","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDTR","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDWB","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"IRLDF","353",64000,490,0,10000,132000,20000,50000,0,1,1,"0",,
"IRLEC","353",64000,490,0,10000,132000,20000,50000,0,1,1,"0",,
"IRLME","353",64000,490,0,10000,132000,20000,50000,0,1,1,"0",,
"IRN11","98",60000,130,0,12000,75000,25000,60000,4.3,1,1,"0",,
"IRNKI","98",60000,130,0,12000,75000,25000,60000,4.3,1,1,"0",,
"IRNMI","98",60000,130,0,12000,75000,25000,60000,4.3,1,1,"0",,
"IRQAT","964",95000,500,0,15000,168000,35000,150000,3,1,1,"0",,
"ISLPS","354",60000,650,0,12000,75000,25000,60000,10,1,1,"0",,
"ISLTL","354",60000,650,0,12000,75000,25000,60000,10,1,1,"0",,
"ISR01","9726",78000,640,0,31000,148000,44000,142000,2,1,1,"0",,
"ISRCL","9726",78000,640,0,31000,148000,44000,142000,2,1,1,"0",,
"ITAOM","39",68000,570,0,13000,126000,42000,83000,1,1,1,"0",,
"ITASI","39",68000,570,0,13000,126000,42000,83000,1,1,1,"0",,
"JAMDC","1876",110000,200,0,18000,148000,38000,148000,5,1,1,"0",,
"JAMK9","1876",110000,0,0,18000,148000,38000,148000,5,0,0,"0",,
"JORFL","962",77000,740,0,15000,115000,44000,97000,3,1,1,"0",,
"JORMC","962",77000,740,0,15000,115000,44000,97000,3,1,1,"0",,
"JORUM","962",77000,740,0,15000,115000,44000,97000,3,1,1,"0",,
"JPNDO","81",26000,670,0,12000,80000,26000,85000,9,1,1,"0",,
"JPNJP","81",26000,670,0,12000,80000,26000,85000,9,1,1,"0",,
"KAZKT","7",64000,650,0,6000,148000,25000,90000,6,1,1,"0",,
"KAZKZ","7",64000,650,0,6000,148000,25000,90000,6,1,1,"0",,
"KENEC","254",100000,230,0,15000,165000,20000,135000,3,1,1,"0",,
"KENK8","254",100000,230,0,15000,165000,20000,135000,3,1,1,"0",,
"KENK9","254",100000,230,0,15000,165000,20000,135000,3,1,1,"0",,
"KENKC","254",100000,230,0,15000,165000,20000,135000,3,1,1,"0",,
"KGZK8","996",75000,0,0,8000,110000,25000,190000,6,0,0,"0",,
"KGZMC","996",75000,300,0,8000,110000,25000,190000,6,1,1,"0",,
"KHMCC","855",48000,500,0,12000,86000,30000,91000,0,1,1,"0",,
"KHMGM","855",48000,500,0,12000,86000,30000,91000,0,1,1,"0",,
"KHML1","855",48000,500,0,12000,86000,30000,91000,0,1,1,"0",,
"KHMSH","855",48000,500,0,12000,86000,30000,91000,0,1,1,"0",,
"KHMSM","855",48000,500,0,12000,86000,30000,91000,0,1,1,"0",,
"KHMST","855",48000,500,0,12000,86000,30000,91000,0,1,1,"0",,
"KHMVC","855",48000,500,0,12000,86000,30000,91000,0,1,1,"0",,
"KNAK9","1",110000,0,0,18000,148000,38000,148000,-4,0,0,"0",,
"KORKF","82",56000,500,0,13000,75000,32000,79000,9,1,1,"0",,
"KORSK","82",56000,500,0,13000,75000,32000,79000,9,1,1,"0",,
"KWTKT","965",70000,740,0,22000,157000,39000,145000,3,1,1,"0",,
"KWTMT","965",70000,740,0,22000,157000,39000,145000,3,1,1,"0",,
"KWTNM","965",70000,740,0,22000,157000,39000,145000,3,1,1,"0",,
"LAOAS","856",26000,420,0,17000,32000,16000,46000,7,1,1,"0",,
"LAOET","856",26000,420,0,17000,32000,16000,46000,7,1,1,"0",,
"LAOTC","856",26000,420,0,17000,32000,16000,46000,7,1,1,"0",,
"LAOTL","856",26000,420,0,17000,32000,16000,46000,7,1,1,"0",,
"LBNFL","961",40000,650,0,15000,40000,25000,40000,2,1,1,"0",,
"LBNLC","961",40000,650,0,15000,40000,25000,40000,2,1,1,"0",,
"LCAK9","1758",110000,0,0,18000,148000,38000,148000,-4,0,0,"0",,
"LIEMK","423",48000,570,0,13000,120000,35000,80000,1,1,1,"0",,
"LKA71","94",58000,200,0,11000,130000,15000,140000,5.3,1,1,"0",,
"LKAAT","94",58000,200,0,11000,130000,15000,140000,5.3,1,1,"0",,
"LKACT","94",58000,200,0,11000,130000,15000,140000,5.3,1,1,"0",,
"LKADG","94",58000,200,0,11000,130000,15000,140000,5.3,1,1,"0",,
"LKAHT","94",58000,200,0,11000,130000,15000,140000,5.3,1,1,"0",,
"LTU03","370",95000,800,0,15000,168000,35000,150000,3,1,1,"0",,
"LTUMT","370",95000,800,0,15000,168000,35000,150000,3,1,1,"0",,
"LTUOM","370",95000,800,0,15000,168000,35000,150000,3,1,1,"0",,
"LUXPT","352",60000,650,0,12000,75000,25000,60000,2,1,1,"0",,
"LUXTG","352",60000,650,0,12000,75000,25000,60000,2,1,1,"0",,
"LVABC","371",60000,200,0,11000,120000,15000,110000,2,1,1,"0",,
"LVABT","371",60000,200,0,11000,120000,15000,110000,2,1,1,"0",,
"LVALM","371",60000,200,0,11000,120000,15000,110000,2,1,1,"0",,
"MACCT","853",48000,650,0,16000,60000,16000,48000,8,1,1,"0",,
"MACHT","853",48000,650,0,16000,60000,16000,48000,8,1,1,"0",,
"MACSM","853",48000,650,0,16000,60000,16000,48000,8,1,1,"0",,
"MARM1","212",115000,650,0,20000,240000,70000,200000,0,1,1,"0",,
"MCOK9","377",52000,0,0,16000,220000,25000,260000,1,1,1,"0",,
"MDAK9","373",45000,250,0,6000,148000,18000,170000,3,1,1,"0",,
"MDAMC","373",45000,250,0,6000,148000,18000,170000,3,1,1,"0",,
"MDGAN","261",65000,800,0,12000,130000,30000,120000,1,1,1,"0",,
"MDGCO","261",65000,800,0,12000,130000,30000,120000,1,1,1,"0",,
"MDGK9","261",65000,800,0,12000,130000,30000,120000,1,1,1,"0",,
"MDV01","960",56000,510,0,17000,95000,13000,120000,5,1,1,"0",,
"MDVWM","960",56000,510,0,17000,95000,13000,120000,5,1,1,"0",,
"MEXK9","52",91000,350,0,13000,116000,35000,98000,-5,1,1,"0",,
"MEXTL","52",91000,350,0,13000,116000,35000,98000,-5,1,1,"0",,
"MKDNO","389",95000,800,0,15000,168000,35000,150000,1,1,1,"0",,
"MLTGO","356",95000,500,0,15000,168000,35000,150000,1,1,1,"0",,
"MLTTL","356",95000,500,0,15000,168000,35000,150000,1,1,1,"0",,
"MMRPT","95",60000,60,0,12000,45000,25000,80000,6.5,1,1,"0",,
"MNEK8","382",95000,400,0,15000,168000,35000,150000,2,1,1,"0",,
"MNEK9","382",95000,400,0,15000,168000,35000,150000,2,1,1,"0",,
"MNEMT","382",95000,400,0,15000,168000,35000,150000,2,1,1,"0",,
"MNGMC","976",95000,800,0,15000,168000,35000,150000,8,1,1,"0",,
"MNGMN","976",95000,800,0,15000,168000,35000,150000,8,1,1,"0",,
"MOZ01","258",60000,340,0,10000,75000,25000,125000,2,1,1,"0",,
"MSRK9","1664",110000,0,0,18000,148000,38000,148000,-4,0,0,"0",,
"MUSCP","230",95000,650,0,16000,95000,25000,95000,4,1,1,"0",,
"MUSEM","230",95000,650,0,16000,95000,25000,95000,4,1,1,"0",,
"MWICT","265",105000,200,0,12000,120000,40000,120000,0,1,1,"0",,
"MYSBC","60",50000,470,0,16000,76000,15000,86000,8,1,1,"0",,
"MYSCC","60",50000,470,0,16000,76000,15000,86000,8,1,1,"0",,
"MYSMI","60",50000,470,0,16000,76000,15000,86000,8,1,1,"0",,
"MYSMT","60",50000,470,0,16000,76000,15000,86000,8,1,1,"0",,
"NAMK9","264",90000,0,0,12000,100000,23000,100000,0,0,0,"0",,
"NGAET","234",90000,500,0,14000,70000,20000,130000,1,1,1,"0",,
"NGAMN","234",90000,500,0,14000,70000,20000,130000,1,1,1,"0",,
"NICEN","505",95000,200,0,11000,155000,36000,235000,-6,1,1,"0",,
"NLDLT","31",58000,600,0,14000,99000,36000,70000,2,1,1,"0",,
"NLDPN","31",58000,600,0,14000,99000,36000,70000,2,1,1,"0",,
"NLDPT","31",58000,600,0,14000,99000,36000,70000,2,1,1,"0",,
"NORNC","47",27000,320,0,10000,58000,28000,40000,1,1,1,"0",,
"NORNN","47",27000,320,0,10000,58000,28000,40000,1,1,1,"0",,
"NORTM","47",27000,320,0,10000,58000,28000,40000,1,1,1,"0",,
"NPLM2","977",60000,400,0,9000,55000,22000,50000,5.45,1,1,"0",,
"NPLNM","977",60000,400,0,9000,55000,22000,50000,5.45,1,1,"0",,
"NZLBS","64",49000,500,0,12000,90000,21000,79000,12,1,1,"0",,
"NZLNH","64",49000,500,0,12000,90000,21000,79000,12,1,1,"0",,
"NZLTM","64",49000,500,0,12000,90000,21000,79000,12,1,1,"0",,
"OMNGT","968",102000,390,0,16000,139000,42000,135000,4,1,1,"0",,
"OMNNT","968",102000,390,0,16000,139000,42000,135000,4,1,1,"0",,
"PAKMK","92",55000,320,0,10000,39000,19000,42000,5,1,1,"0",,
"PAKPL","92",55000,320,0,10000,39000,19000,42000,5,1,1,"0",,
"PAKTP","92",55000,320,0,10000,39000,19000,42000,5,1,1,"0",,
"PAKUF","92",55000,320,0,10000,39000,19000,42000,5,1,1,"0",,
"PAKWA","92",55000,320,0,10000,39000,19000,42000,5,1,1,"0",,
"PANCL","507",82000,500,0,21000,130000,32000,120000,-5,1,1,"0",,
"PANCW","507",82000,500,0,21000,130000,32000,120000,-5,1,1,"0",,
"PANK9","507",82000,500,0,21000,130000,32000,120000,-5,1,1,"0",,
"PERTM","51",65000,400,0,12000,130000,30000,120000,-5,1,1,"0",,
"PHLDG","63",37000,510,0,12000,73000,12000,91000,8,1,1,"0",,
"PHLGT","63",37000,510,0,12000,73000,12000,91000,8,1,1,"0",,
"PHLSR","63",37000,510,0,12000,73000,12000,91000,8,1,1,"0",,
"PNGDP","675",95000,750,0,15000,168000,35000,150000,10,1,1,"0",,
"PNGK9","675",95000,750,0,15000,168000,35000,150000,10,1,1,"0",,
"PNGPM","675",95000,750,0,15000,168000,35000,150000,10,1,1,"0",,
"POL02","48",48000,600,0,9000,130000,35000,70000,2,1,1,"0",,
"POL03","48",48000,600,0,9000,130000,35000,70000,2,1,1,"0",,
"POLKM","48",48000,600,0,9000,130000,35000,70000,2,1,1,"0",,
"PRICL","1787",44000,330,0,12000,92000,46000,97000,-4,1,1,"0",,
"PRTOP","351",66000,460,0,15000,140000,29000,70000,0,1,1,"0",,
"PRTTL","351",66000,460,0,15000,140000,29000,70000,0,1,1,"0",,
"PRTTM","351",66000,460,0,15000,140000,29000,70000,0,1,1,"0",,
"PRYHT","595",85000,400,0,10000,120000,32000,120000,-4,1,1,"0",,
"PRYK9","595",85000,400,0,10000,120000,32000,120000,-4,1,1,"0",,
"QATB1","974",140000,590,0,18000,106000,43000,112000,3,1,1,"0",,
"QATQT","974",140000,590,0,18000,106000,43000,112000,3,1,1,"0",,
"REU02","262",60000,0,0,12000,75000,25000,60000,4,0,0,"0",,
"ROMCS","40",65000,400,0,12000,130000,30000,120000,3,1,1,"0",,
"ROMMF","40",65000,400,0,12000,130000,30000,120000,3,1,1,"0",,
"ROMMR","40",65000,400,0,12000,130000,30000,120000,3,1,1,"0",,
"RUS01","7",58000,650,0,13000,195000,38000,170000,8,1,1,"0",,
"RUS16","7",58000,650,0,13000,195000,38000,170000,8,1,1,"0",,
"RUS17","7",58000,650,0,13000,195000,38000,170000,8,1,1,"0",,
"RUSBD","7",58000,650,0,13000,195000,38000,170000,8,1,1,"0",,
"RUSKH","7",58000,650,0,13000,195000,38000,170000,8,1,1,"0",,
"RUSNW","7",58000,650,0,13000,195000,38000,170000,8,1,1,"0",,
"RUSSC","7",58000,650,0,13000,195000,38000,170000,8,1,1,"0",,
"RUSUT","7",58000,650,0,13000,195000,38000,170000,8,1,1,"0",,
"SAUAJ","966",62000,670,0,19000,132000,40000,120000,3,1,1,"0",,
"SAUET","966",62000,670,0,19000,132000,40000,120000,3,1,1,"0",,
"SAUZN","966",62000,670,0,19000,132000,40000,120000,3,1,1,"0",,
"SENK9","221",65000,0,0,18000,270000,80000,270000,0,0,0,"0",,
"SGPM1","65",45000,300,0,12000,60000,19000,62000,8,1,1,"0",,
"SGPSH","65",45000,300,0,12000,60000,19000,62000,8,1,1,"0",,
"SGPST","65",45000,300,0,12000,60000,19000,62000,8,1,1,"0",,
"SLVTP","503",90000,450,0,9000,115000,35000,115000,-6,1,1,"0",,
"SRBNO","381",55000,320,0,7000,250000,32000,250000,1,1,1,"0",,
"SURK9","597",58000,600,0,18000,80000,26000,80000,-3,1,1,"0",,
"SURUQ","597",58000,600,0,18000,80000,26000,80000,-3,1,1,"0",,
"SVKET","421",65000,450,0,12000,125000,24000,99000,1,1,1,"0",,
"SVKGT","421",65000,450,0,12000,125000,24000,99000,1,1,1,"0",,
"SVNMT","386",95000,800,0,15000,168000,35000,150000,2,1,1,"0",,
"SVNSM","386",95000,800,0,15000,168000,35000,150000,2,1,1,"0",,
"SWEEP","46",50000,250,0,15000,92000,34000,57000,2,1,1,"0",,
"SWEIQ","46",50000,250,0,15000,92000,34000,57000,2,1,1,"0",,
"SWETR","46",50000,250,0,15000,92000,34000,57000,2,1,1,"0",,
"TCAK9","1649",110000,0,0,18000,148000,38000,148000,-5,0,0,"0",,
"TCDCT","235",90000,470,0,14000,250000,42000,260000,0,1,1,"0",,
"TGOK9","228",65000,0,0,15000,38000,19000,125000,0,0,0,"0",,
"TKMBC","993",80000,0,0,14000,310000,39000,280000,5,0,0,"0",,
"TKMK8","993",80000,0,0,14000,310000,39000,280000,5,0,0,"0",,
"TLSTC","670",52000,200,0,29000,66000,29000,95000,7,1,1,"0",,
"TLSTL","670",52000,200,0,29000,66000,29000,95000,7,1,1,"0",,
"TONDP","676",95000,200,0,20000,240000,46000,200000,13,1,1,"0",,
"TTO12","1868",95000,330,0,17000,155000,35000,155000,-4,1,1,"0",,
"TUNK5","216",120000,280,0,30000,200000,105000,200000,1,1,1,"0",,
"TUNTT","216",120000,280,0,30000,200000,105000,200000,1,1,1,"0",,
"TURTC","90",78000,700,0,16000,149000,49000,140000,2,1,1,"0",,
"TURTK","90",80000,700,0,22000,175000,65000,350000,2,1,1,"0",,
"TURTS","90",78000,700,0,16000,149000,49000,140000,2,1,1,"0",,
"TWNFE","886",52000,380,0,12000,59000,22000,60000,8,1,1,"0",,
"TWNLD","886",52000,380,0,12000,59000,22000,60000,8,1,1,"0",,
"TWNPC","886",52000,380,0,12000,59000,22000,60000,8,1,1,"0",,
"TWNTA","886",52000,380,0,12000,59000,22000,60000,8,1,1,"0",,
"TZAK9","255",65000,0,0,12000,130000,30000,120000,3,1,1,"0",,
"TZAVC","255",65000,400,0,12000,130000,30000,120000,3,1,1,"0",,
"UGACE","256",60000,650,0,12000,95000,25000,110000,3,1,1,"0",,
"UGAMN","256",60000,650,0,12000,95000,25000,110000,3,1,1,"0",,
"UKRK9","380",75000,0,0,11000,240000,36000,220000,3,1,1,"0",,
"UKRKS","380",75000,500,0,11000,240000,36000,220000,3,1,1,"0",,
"UKRUM","380",75000,500,0,11000,240000,36000,220000,3,1,1,"0",,
"URYAM","598",95000,520,0,15000,168000,35000,150000,-3,1,1,"0",,
"USACB","1",44000,330,0,12000,92000,46000,97000,-6,1,1,"0",,
"USACG","1",44000,330,0,12000,92000,46000,97000,-6,1,1,"0",,
"USACI","1",44000,330,0,12000,92000,46000,97000,-6,1,1,"0",,
"USAK8","1",44000,0,0,12000,92000,46000,97000,-6,1,1,"0",,
"USAW6","1",44000,330,0,12000,92000,46000,97000,-6,1,1,"0",,
"UZB07","998",95000,430,0,20000,240000,20000,235000,5,1,1,"0",,
"UZBDU","998",95000,430,0,20000,240000,20000,235000,5,1,1,"0",,
"VCTK9","1784",110000,0,0,18000,148000,38000,148000,-4,0,0,"0",,
"VEND2","58",102000,580,0,14000,125000,35000,180000,-4.3,1,1,"0",,
"VGBK9","1284",110000,0,0,18000,148000,38000,148000,-4,0,0,"0",,
"VNMBL","84",55000,420,0,12000,71000,12000,71000,7,1,1,"0",,
"VNMMO","84",55000,420,0,12000,71000,12000,71000,7,1,1,"0",,
"VNMVI","84",55000,420,0,12000,71000,12000,71000,7,1,1,"0",,
"VNMVM","84",55000,420,0,12000,71000,12000,71000,7,1,1,"0",,
"VNMVT","84",55000,420,0,12000,71000,12000,71000,7,1,1,"0",,
"VUTDP","678",100000,350,0,17000,100000,25000,100000,11,1,1,"0",,
"YEMYY","967",45000,0,0,9000,60000,11000,235000,3,0,0,"0",,
"ZAFCC","27",55000,130,0,7000,35000,18000,40000,2,1,1,"0",,
"ZAFMN","27",55000,130,0,7000,35000,18000,40000,2,1,1,"0",,
"ZAFVC","27",55000,130,0,7000,35000,18000,40000,2,1,1,"0",,
"GHAGT","233",115000,260,0,12000,75000,25000,110000,0,1,1,"0",,
"GRCQT","30",65000,430,0,13000,89000,23000,62000,3,1,1,"0",,
"GUYUM","592",110000,0,0,16000,135000,35000,135000,0,0,0,"0",,
"HKGBM","852",34000,550,0,16000,71000,13000,77000,8,1,1,"0",,
"HKGNW","852",34000,550,0,16000,71000,13000,77000,8,1,1,"0",,
"AAM21","46",50000,250,0,15000,92000,34000,57000,1,1,1,"1",,
"AILID","62",36000,470,0,12000,120000,21000,143000,7,1,1,"1",,
"ANTCT","599",105000,600,0,18000,110000,45000,115000,-4,0,0,"1",,
"ARETH","8216",98000,750,0,38000,115000,75000,120000,4,1,1,"1",,
"ARGNC","54",80000,400,0,12000,130000,30000,120000,4,1,1,"1",,
"ARGVO","54",80000,400,0,12000,130000,30000,120000,4,1,1,"1",,
"ARMK9","374",80000,0,0,6000,175000,33000,175000,0,1000,1000,"1",,
"AUSOT","61",39000,530,0,14000,80000,23000,78000,11,1,1,"1",,
"AUTHU","43",70000,450,0,19000,145000,37000,140000,2,1,1,"1",,
"AUTMK","43",70000,450,0,19000,145000,37000,140000,2,1,1,"1",,
"AUTON","43",70000,450,0,19000,145000,37000,140000,2,1,1,"1",,
"HNDDC","504",100000,420,0,12000,90000,32000,95000,-6,1,1,"1",,
"HRVT2","385",65000,400,0,12000,130000,30000,120000,1,1,1,"1",,
"IDNIM","62",36000,470,0,12000,120000,21000,143000,7,1,1,"1",,
"IND01","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"1",,
"IND06","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"1",,
"IND08","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"1",,
"INDAH","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"1",,
"INDAM","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"1",,
"INDBR","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"1",,
"INDDL","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"1",,
"INDGU","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"1",,
"INDHA","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"1",,
"INDHC","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"1",,
"INDHK","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"1",,
"INDHY","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"1",,
"INDIE","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"1",,
"INDIJ","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"1",,
"INDKA","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"1",,
"INDKE","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"1",,
"INDMA","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"1",,
"INDMD","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"1",,
"INDMU","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"1",,
"INDND","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"1",,
"INDPE","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"1",,
"INDPN","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"1",,
"INDPW","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"1",,
"INDRS","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"1",,
"INDTC","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"1",,
"IRLH3","353",64000,490,0,10000,132000,20000,50000,0,1,1,"1",,
"IRQOR","964",95000,500,0,15000,168000,35000,150000,3,1,1,"1",,
"ISL03","354",60000,650,0,12000,75000,25000,60000,10,1,1,"1",,
"ISLOC","13",289000,0,0,40000,265000,252000,235000,10,0,0,"1",,
"ISRHC","972",78000,640,0,31000,148000,44000,142000,2,1,1,"1",,
"ISRPL","972",78000,640,0,31000,148000,44000,142000,2,1,1,"1",,
"ITABL","39",68000,570,0,13000,126000,42000,83000,1,1,1,"1",,
"ITAGT","11",228000,570,0,15000,200000,200000,150000,1,1,1,"1",,
"ITAH3","39",68000,570,0,13000,126000,42000,83000,1,1,1,"1",,
"JPNDM","81",26000,670,0,12000,80000,26000,85000,9,1,1,"1",,
"JPNEM","81",26000,670,0,12000,80000,26000,85000,9,1,1,"1",,
"JPNKD","81",26000,670,0,12000,80000,26000,85000,9,1,1,"1",,
"KHMSC","855",48000,500,0,12000,86000,30000,91000,0,1,1,"1",,
"KORKT","82",56000,500,0,13000,75000,32000,79000,9,1,1,"1",,
"KORLU","82",56000,500,0,13000,75000,32000,79000,9,1,1,"1",,
"LGTKO","82",56000,500,0,13000,75000,32000,79000,9,1,1,"1",,
"LIETG","423",48000,570,0,13000,120000,35000,80000,1,1,1,"1",,
"MEXNC","52",91000,350,0,13000,116000,35000,98000,-5,1,1,"1",,
"MKDK8","389",95000,800,0,15000,168000,35000,150000,1,1000,1000,"1",,
"MMRVT","95",60000,40,0,12000,45000,25000,80000,6.5,1000,1000,"1",,
"MMRXY","95",0,40,0,0,0,0,0,6.5,1000,1000,"1",,
"MYSMR","60",50000,470,0,16000,76000,15000,86000,8,1,1,"1",,
"MYSSD","60",50000,470,0,16000,76000,15000,86000,8,1,1,"1",,
